,Digital price list - full cost only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sides printed,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Finishing,,,,,,,,,,,,,C/C & glued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gluing style,,,,,,,,,,,,,Easy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 395um INVERCOTE G GLUED,,,,,,,,,,,,,,,,,,,73088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,8,,,,,,,,,,,,,œ683.20,,,œ691.60,,œ702.80,œ711.20,œ733.60,œ754.60,œ788.20,œ820.40,œ856.80,œ889.00,œ921.20,œ956.20,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ1,308.15",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
450,9,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
475,10,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
500,11,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
525,12,,,,,,,,,,,,,œ0.00,,,œ0.00,,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIGITAL - 505um CHROMOCARD UNGLUED,,,,,,,,,,,,,,,,,,,73091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C/C DIE,Number up,1,5,10,15,20,25,40,50,75,100,,200, 250 , 300 , 400 , 500 , 600 , 750 ," 1,000 "," 1,500 "," 2,000 "," 2,500 "," 3,000 "," 3,500 "," 4,000 "," 4,500 "," 5,000 ",5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,12000,12500,13000,13500,,15000,,17500,,20000,,,,,,,,
250,1,œ319.84,œ317.86,œ388.92,œ389.84,œ390.91,œ391.69,œ394.41,œ396.63,œ401.04,œ405.87,,œ424.10,œ434.00,œ451.23,œ491.37,œ529.20,,œ628.60,œ732.20,œ942.20,"œ1,153.60","œ1,363.60","œ1,575.00","œ1,785.00","œ1,996.40","œ2,206.40","œ2,417.80",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ4,521.41",,œ0.00,,,,œ0.00,,œ0.00,,œ0.00,,,,,,,,
275,2,,,,,,,,,,œ0.00,,,œ431.20,œ0.00,,œ455.00,,œ502.60,œ553.00,œ655.20,œ760.20,œ868.00,œ974.40,"œ1,083.60","œ1,188.60","œ1,295.00","œ1,404.20",œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,"œ2,506.38",,œ0.00,,"œ3,571.02",,œ0.00,,œ0.00,,œ0.00,,,,,,,,
